add_mix,add_mix_percent,curing_days,strength_increase_prec
Groundnut shell ash (FA),10.0,56,5.71
Groundnut shell ash (FA),10.0,90,6.13
Groundnut shell ash (FA),10.0,180,6.45
Hemp fibres,0.75,28,40.29
Hemp fibres,0.75,56,40.42
Hemp fibres,0.75,90,40.63
Hemp fibres,0.75,180,40.85
Glass powder (FA),15.0,28,36.99
Glass powder (FA),15.0,56,37.13
Glass powder (FA),15.0,90,37.44
Glass powder (FA),15.0,180,37.76
Biocement,1.0,28,15.34
Biocement,1.0,56,15.47
Biocement,1.0,90,15.62
Biocement,1.0,180,15.75
Pine Apple leaf fibres,0.3,28,13.84
Pine Apple leaf fibres,0.3,56,14.05
Pine Apple leaf fibres,0.3,90,14.49
Pine Apple leaf fibres,0.3,180,14.76
Jute fibres,0.6,28,20.12
Jute fibres,0.6,56,20.84
Jute fibres,0.6,90,20.67
Jute fibres,0.6,180,20.82
Calcium chloride,2.5,28,9.39
Calcium chloride,2.5,56,10.02
Calcium chloride,2.5,90,11.26
Calcium chloride,2.5,180,12.56
Coir fibres,3.0,28,8.01
Coir fibres,3.0,56,8.16
Coir fibres,3.0,90,8.29
Coir fibres,3.0,180,8.62
